repository,owner,repo_name,stars,forks,description,dataset_index,collection_failed,created_at,pushed_at,language,has_issues,has_projects,has_wiki
appsmithorg/appsmith,appsmithorg,appsmith,37945,4228,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.",78,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
ToolJet/ToolJet,ToolJet,ToolJet,36445,4742,"ToolJet is the open-source foundation of ToolJet AI - the AI-native platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀",79,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
fonoster/fonoster,fonoster,fonoster,6997,417,🚀 The open-source alternative to Twilio.,80,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
jitsucom/jitsu,jitsucom,jitsu,4398,315,"Jitsu is an open-source Segment alternative. Fully-scriptable data ingestion engine for modern data teams. Set-up a real-time data pipeline in minutes, not days",81,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
Avaiga/taipy,Avaiga,taipy,18618,1926,Turns Data and AI algorithms into production-ready web applications in no time.,82,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
go-skynet/LocalAI,go-skynet,LocalAI,35178,2759,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference",83,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
chroma-core/chroma,chroma-core,chroma,23247,1822,Open-source search and retrieval database for AI applications.,84,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
weaviate/weaviate,weaviate,weaviate,14550,1076,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",85,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
qdrant/qdrant,qdrant,qdrant,25875,1809,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",86,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
milvus-io/milvus,milvus-io,milvus,37128,3391,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",87,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
marqo-ai/marqo,marqo-ai,marqo,4938,214,Unified embedding generation and search engine. Also available on cloud - cloud.marqo.ai,88,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
typesense/typesense,typesense,typesense,24317,807,"Open Source alternative to Algolia + Pinecone and an Easier-to-Use alternative to ElasticSearch ⚡ 🔍 ✨ Fast, typo tolerant, in-memory fuzzy Search Engine for building delightful search experiences",89,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
zincsearch/zincsearch,zincsearch,zincsearch,17539,759,"ZincSearch . A lightweight alternative to elasticsearch that requires minimal resources, written in Go.",90,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
quickwit-oss/quickwit,quickwit-oss,quickwit,10402,485,"Cloud-native search engine for observability. An open-source alternative to Datadog, Elasticsearch, Loki, and Tempo.",91,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
openobserve/openobserve,openobserve,openobserve,16557,650,"🚀 10x easier, 🚀 140x lower storage cost, 🚀 high performance,  🚀 petabyte scale - Elasticsearch/Splunk/Datadog alternative for 🚀 (logs, metrics, traces, RUM, Error tracking, Session replay).",92,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
grafana/loki,grafana,loki,26413,3782,"Like Prometheus, but for logs.",93,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
VictoriaMetrics/VictoriaMetrics,VictoriaMetrics,VictoriaMetrics,14986,1456,"VictoriaMetrics: fast, cost-effective monitoring solution and time series database",94,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
cortexproject/cortex,cortexproject,cortex,5671,831,"A horizontally scalable, highly available, multi-tenant, long term Prometheus.",95,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
thanos-io/thanos,thanos-io,thanos,13695,2203,Highly available Prometheus setup with long term storage capabilities. A CNCF Incubating project.,96,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
m3db/m3,m3db,m3,4847,464,"M3 monorepo - Distributed TSDB, Aggregator and Query Engine, Prometheus Sidecar, Graphite Compatible, Metrics Platform",97,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
skypilot-org/skypilot,skypilot-org,skypilot,8697,771,"Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, 17+ clouds, or on-prem).",98,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
semaphoreio/semaphore,semaphoreio,semaphore,1300,62,Semaphore is an open source CI/CD platform. Self-host Semaphore on your own servers or on a cloud provider.,99,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
robotmcp/ros-mcp-server,robotmcp,ros-mcp-server,414,70,Connect AI models like Claude & GPT with robots using MCP and ROS.,100,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
